cod_mpio,sedes_reps,prestadores_reps,reps_rows,sedes_ips_reps,sedes_publicas_reps,sedes_privadas_reps,fecha_corte_reps
15466,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15469,26,25,26,7,2,24,Fecha corte REPS: Mar 12 2026  3:11PM
15476,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15480,3,3,3,1,1,2,Fecha corte REPS: Mar 12 2026  3:11PM
15491,7,6,7,2,2,5,Fecha corte REPS: Mar 12 2026  3:11PM
15494,2,2,2,1,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
15500,3,3,3,3,1,2,Fecha corte REPS: Mar 12 2026  3:11PM
15507,2,2,2,1,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
15511,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15514,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15516,58,57,58,10,3,55,Fecha corte REPS: Mar 12 2026  3:11PM
15518,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15522,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15531,3,3,3,1,1,2,Fecha corte REPS: Mar 12 2026  3:11PM
15533,2,1,2,2,2,0,Fecha corte REPS: Mar 12 2026  3:11PM
15537,2,2,2,1,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
15542,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15550,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15572,38,34,38,10,3,35,Fecha corte REPS: Mar 12 2026  3:11PM
15580,2,1,2,2,2,0,Fecha corte REPS: Mar 12 2026  3:11PM
15599,13,13,13,3,1,12,Fecha corte REPS: Mar 12 2026  3:11PM
15600,5,5,5,1,1,4,Fecha corte REPS: Mar 12 2026  3:11PM
15621,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15632,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15638,4,4,4,1,1,3,Fecha corte REPS: Mar 12 2026  3:11PM
15646,22,20,22,6,2,20,Fecha corte REPS: Mar 12 2026  3:11PM
15660,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15664,2,2,2,1,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
15667,5,5,5,1,1,4,Fecha corte REPS: Mar 12 2026  3:11PM
15673,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15676,3,3,3,1,1,2,Fecha corte REPS: Mar 12 2026  3:11PM
15681,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15686,3,3,3,1,1,2,Fecha corte REPS: Mar 12 2026  3:11PM
15690,4,4,4,1,1,3,Fecha corte REPS: Mar 12 2026  3:11PM
15693,11,11,11,1,1,10,Fecha corte REPS: Mar 12 2026  3:11PM
15696,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15720,2,2,2,1,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
