cod_mpio,year,month,sivigila_intento_suicidio,sivigila_intento_suicidio_confirmados
05145,2024,9,1,1
05145,2024,10,1,1
05147,2021,1,3,3
05147,2021,2,4,4
05147,2021,3,5,5
05147,2021,4,1,1
05147,2021,5,2,2
05147,2021,6,3,3
05147,2021,7,1,1
05147,2021,8,1,1
05147,2021,9,2,2
05147,2021,10,1,1
05147,2021,11,2,2
05147,2021,12,1,1
05147,2022,1,4,4
05147,2022,2,2,2
05147,2022,4,2,2
05147,2022,6,1,1
05147,2022,7,5,5
05147,2022,8,2,2
05147,2022,9,7,7
05147,2022,10,4,4
05147,2022,11,3,3
05147,2022,12,2,2
05147,2023,2,4,4
05147,2023,3,8,8
05147,2023,4,4,4
05147,2023,5,5,5
05147,2023,6,1,1
05147,2023,7,3,3
05147,2023,8,5,5
05147,2023,9,4,4
05147,2023,10,2,2
05147,2023,11,2,2
05147,2023,12,2,2
05147,2024,1,5,5
05147,2024,2,1,1
05147,2024,3,1,1
05147,2024,4,1,1
05147,2024,7,3,3
05147,2024,8,1,1
05147,2024,9,1,1
05147,2024,10,3,3
05147,2024,12,1,1
05148,2021,1,1,1
05148,2021,2,3,3
05148,2021,3,1,1
05148,2021,4,2,2
05148,2021,5,4,4
05148,2021,6,6,6
05148,2021,7,2,2
05148,2021,8,4,4
05148,2021,9,3,3
05148,2021,10,6,6
05148,2021,11,4,4
05148,2021,12,5,5
05148,2022,1,4,4
05148,2022,2,3,3
05148,2022,3,3,3
05148,2022,4,6,6
05148,2022,5,2,2
05148,2022,6,6,6
05148,2022,7,3,3
05148,2022,8,5,5
05148,2022,9,5,5
05148,2022,10,7,7
05148,2022,11,8,8
05148,2022,12,5,5
05148,2023,1,4,4
05148,2023,2,4,4
05148,2023,3,9,9
05148,2023,4,8,8
05148,2023,5,7,7
05148,2023,6,11,11
05148,2023,7,6,6
05148,2023,8,4,4
05148,2023,9,5,5
05148,2023,10,6,6
05148,2023,11,2,2
05148,2023,12,1,1
05148,2024,1,6,6
05148,2024,2,7,7
05148,2024,3,4,4
05148,2024,4,3,3
05148,2024,5,8,8
05148,2024,6,5,5
05148,2024,7,4,4
05148,2024,8,6,6
05148,2024,9,6,6
05148,2024,10,3,3
05148,2024,11,5,5
05148,2024,12,4,4
05150,2022,3,1,1
05150,2022,5,1,1
05150,2022,8,1,1
05150,2023,2,1,1
05150,2023,10,1,1
05150,2023,11,2,2
05150,2024,2,1,1
05150,2024,4,1,1
05150,2024,7,1,1
05150,2024,9,1,1
05150,2024,11,2,2
05154,2021,1,1,1
05154,2021,2,2,2
05154,2021,3,4,4
05154,2021,4,1,1
05154,2021,5,5,5
05154,2021,6,4,4
05154,2021,7,8,8
05154,2021,8,3,3
05154,2021,9,5,5
05154,2021,10,4,4
05154,2021,11,8,8
05154,2021,12,7,7
05154,2022,1,1,1
05154,2022,2,2,2
05154,2022,3,11,11
05154,2022,4,9,9
05154,2022,5,9,9
05154,2022,6,5,5
05154,2022,7,12,12
05154,2022,8,4,4
05154,2022,9,5,5
05154,2022,10,6,6
05154,2022,11,7,7
05154,2022,12,5,5
05154,2023,1,9,9
05154,2023,2,12,12
05154,2023,3,3,3
05154,2023,4,4,4
05154,2023,5,6,6
05154,2023,6,8,8
05154,2023,7,3,3
05154,2023,8,5,5
05154,2023,9,11,11
05154,2023,10,2,2
05154,2023,11,7,7
05154,2023,12,3,3
05154,2024,1,3,3
05154,2024,2,7,7
05154,2024,3,9,9
05154,2024,4,4,4
05154,2024,5,7,7
05154,2024,6,8,8
05154,2024,7,5,5
05154,2024,8,4,4
05154,2024,9,2,2
05154,2024,10,4,4
05154,2024,11,2,2
05154,2024,12,4,4
05172,2021,1,4,4
05172,2021,2,5,5
05172,2021,3,4,4
05172,2021,5,4,4
05172,2021,6,3,3
05172,2021,7,2,2
05172,2021,8,1,1
05172,2021,9,5,5
05172,2021,10,5,5
05172,2021,11,7,7
05172,2021,12,4,4
05172,2022,1,4,4
05172,2022,2,2,2
05172,2022,3,2,2
05172,2022,4,6,6
05172,2022,5,4,4
05172,2022,6,5,5
05172,2022,7,2,2
05172,2022,8,3,3
05172,2022,9,3,3
05172,2022,10,4,4
05172,2022,11,3,3
05172,2022,12,8,8
05172,2023,1,2,2
05172,2023,2,7,7
05172,2023,3,1,1
05172,2023,4,8,8
05172,2023,5,1,1
05172,2023,6,1,1
05172,2023,7,6,6
05172,2023,8,4,4
05172,2023,9,4,4
05172,2023,10,3,3
05172,2023,11,8,8
05172,2023,12,6,6
05172,2024,1,6,6
05172,2024,2,7,7
05172,2024,3,6,6
05172,2024,4,3,3
05172,2024,5,4,4
05172,2024,6,5,5
05172,2024,7,5,5
05172,2024,8,5,5
05172,2024,9,6,6
05172,2024,10,6,6
05172,2024,11,1,1
05172,2024,12,3,3
05190,2021,3,1,1
05190,2021,5,1,1
05190,2021,8,3,3
05190,2021,9,1,1
05190,2021,11,2,2
05190,2022,1,1,1
05190,2022,4,1,1
05190,2022,7,2,2
05190,2022,8,3,3
05190,2022,9,1,1
05190,2022,10,1,1
05190,2022,11,3,3
05190,2023,3,1,1
05190,2023,6,1,1
05190,2023,7,1,1
05190,2023,9,1,1
05190,2023,10,5,5
05190,2024,1,1,1
05190,2024,3,2,2
05190,2024,5,1,1
05190,2024,6,1,1
05190,2024,9,1,1
05197,2021,1,1,1
05197,2021,5,1,1
05197,2021,6,1,1
05197,2021,7,3,3
05197,2021,8,4,4
05197,2022,2,1,1
05197,2022,4,1,1
05197,2022,7,4,4
05197,2022,8,3,3
05197,2023,1,1,1
05197,2023,2,2,2
05197,2023,6,1,1
05197,2023,7,1,1
05197,2023,12,1,1
05197,2024,1,2,2
05197,2024,5,1,1
05197,2024,8,1,1
05197,2024,9,2,2
05197,2024,10,1,1
05206,2022,5,1,1
05206,2022,10,1,1
05206,2022,11,1,1
05206,2022,12,1,1
05206,2023,3,1,1
05206,2023,9,1,1
05206,2024,11,1,1
05209,2021,1,3,3
05209,2021,2,1,1
05209,2021,3,2,2
05209,2021,5,1,1
05209,2021,6,1,1
05209,2021,7,2,2
05209,2021,8,1,1
05209,2021,9,2,2
05209,2021,10,2,2
05209,2022,3,1,1
05209,2022,6,1,1
05209,2022,7,1,1
05209,2022,8,1,1
05209,2022,9,1,1
05209,2022,10,1,1
05209,2022,11,2,2
05209,2022,12,1,1
05209,2023,2,3,3
05209,2023,5,1,1
05209,2023,6,2,2
05209,2023,8,1,1
05209,2023,9,1,1
05209,2023,11,2,2
05209,2024,1,3,3
05209,2024,5,1,1
05209,2024,6,2,2
05209,2024,10,1,1
05212,2021,1,1,1
05212,2021,2,1,1
05212,2021,6,1,1
05212,2021,7,1,1
05212,2021,8,1,1
05212,2021,9,1,1
05212,2021,10,2,2
05212,2021,11,6,6
05212,2021,12,4,4
05212,2022,1,5,5
05212,2022,2,3,3
05212,2022,3,7,7
05212,2022,4,3,3
05212,2022,5,5,5
05212,2022,6,3,3
05212,2022,7,2,2
05212,2022,8,5,5
05212,2022,9,4,4
05212,2022,10,7,7
05212,2022,11,4,4
05212,2022,12,6,6
05212,2023,1,3,3
05212,2023,2,10,10
05212,2023,3,4,4
05212,2023,4,6,6
05212,2023,5,5,5
05212,2023,6,7,7
05212,2023,7,13,13
05212,2023,8,8,8
05212,2023,9,16,16
05212,2023,10,14,14
05212,2023,11,4,4
05212,2023,12,6,6
05212,2024,1,5,5
05212,2024,2,9,9
05212,2024,3,9,9
05212,2024,4,11,11
05212,2024,5,13,13
05212,2024,6,8,8
05212,2024,7,4,4
05212,2024,8,4,4
05212,2024,9,6,6
05212,2024,10,7,7
05212,2024,11,5,5
05212,2024,12,1,1
05234,2021,2,1,1
05234,2022,2,1,1
05234,2022,4,1,1
05234,2022,6,1,1
05234,2022,8,1,1
05234,2022,11,1,1
05234,2022,12,1,1
05234,2023,5,1,1
05234,2023,8,2,2
05234,2023,12,1,1
05237,2021,1,4,4
05237,2021,2,2,2
05237,2021,4,5,5
05237,2021,6,1,1
05237,2021,10,2,2
05237,2021,11,2,2
05237,2021,12,2,2
05237,2022,4,2,2
05237,2022,5,3,3
05237,2022,6,2,2
05237,2022,7,2,2
05237,2022,9,2,2
05237,2022,10,5,5
05237,2022,11,1,1
05237,2022,12,1,1
05237,2023,3,4,4
05237,2023,4,1,1
05237,2023,5,2,2
05237,2023,6,4,4
05237,2023,7,1,1
05237,2023,8,2,2
05237,2023,10,1,1
05237,2024,1,3,3
05237,2024,2,1,1
05237,2024,3,1,1
05237,2024,4,2,2
05237,2024,5,4,4
05237,2024,7,2,2
05237,2024,8,1,1
05237,2024,9,4,4
05237,2024,10,2,2
05237,2024,11,2,2
05237,2024,12,1,1
05240,2021,7,1,1
05240,2021,8,2,2
05240,2022,2,1,1
05240,2022,3,2,2
05240,2022,6,1,1
05240,2022,8,1,1
05240,2022,9,1,1
05240,2023,5,1,1
05240,2023,6,1,1
05240,2023,8,2,2
05240,2023,9,2,2
05240,2024,5,1,1
05250,2021,1,3,3
05250,2021,2,2,2
05250,2021,4,2,2
05250,2021,5,2,2
05250,2021,6,1,1
05250,2021,8,2,2
05250,2021,10,2,2
05250,2021,11,1,1
05250,2021,12,3,3
05250,2022,1,2,2
05250,2022,3,3,3
05250,2022,4,5,5
05250,2022,5,4,4
05250,2022,6,2,2
05250,2022,9,1,1
05250,2022,10,2,2
05250,2022,12,2,2
05250,2023,1,2,2
05250,2023,2,1,1
05250,2023,3,3,3
05250,2023,4,1,1
05250,2023,5,1,1
05250,2023,7,2,2
05250,2023,9,2,2
05250,2023,10,1,1
05250,2024,1,3,3
05250,2024,2,1,1
05250,2024,3,5,5
05250,2024,4,1,1
05250,2024,6,2,2
05250,2024,7,1,1
05250,2024,8,2,2
05250,2024,9,3,3
05250,2024,10,3,3
05250,2024,12,1,1
05264,2021,7,1,1
05264,2021,10,1,1
05264,2022,1,1,1
05264,2022,2,2,2
